intron_id	chrom	start	end	strand	gene_id	host_biotype	length	length_tier	intron_abundance_Ai	splice_left	splice_right	splice_exact	coverage_fraction	IRratio_classic	warn_LowCover	warn_LowSplicing	warn_MinorIsoform	warn_NonUniformCover	tag	mask_policy	masked_fraction	mask_other_gene_frac	mask_same_gene_frac	uniformity	gradient_score	cliff_score	cliff_position	two_point_ratio	shape_method	shape_fittable	gc_content	mappability_score	gc_transition_near_shape_feature	shape_bias_flag	ipa_cliff_score	ipa_position	ipa_annotation_support	ipa_candidate	ipa_flag	ipa_confidence	IRratio_corrected	IRratio_shrunk	retention_confidence	minor_intron_U12	polyA_site_present	alt3ss_present	tier	method	confidence
VIM:i3:17230711-17233586	chr10	17230711	17233586	+	ENSG00000026025.16	protein_coding	2876	long	11.25	10134.0	10132.0	10128.0	1.0	0.0011088933244621868	False	False	False	False	anti-near	classic	0.2590403337969402	0.09109874826147427	0.2590403337969402	0.9038424462207884		0.5645479668377418	17231668		full_shape	True	0.36555609107017517	1.0	False	False	0.5645479668377418	17231668	True	False					0.7252641320593953	False	True	True	long	classic_ratio+full_shape	1.0
VIM:i3:17230711-17233586	chr10	17230711	17233586	+	ENSG00000026025.16	protein_coding	2876	long	14.0	10134.0	10132.0	10128.0	1.0	0.0013795821836815136	False	False	False	False	anti-near	best_perf	0.0	0.0	0.2590403337969402	0.907663211294532		0.7144422842329978	17230805		full_shape	True	0.3748261332511902	1.0	False	False	0.7144422842329978	17230805	True	False			0.0013795821836815136		0.7361806036986628	False	True	True	long	classic_ratio+full_shape	1.0
VIM:i1:17228525-17229275	chr10	17228525	17229275	+	ENSG00000026025.16	protein_coding	751	awkward_mid	28.5	1.25	8.0	1.0	1.0	0.7808219178082192	False	False	True	True	clean	classic	0.4141145139813582	0.0	0.4141145139813582						two_point	False	0.6636363863945007	1.0	False	False													awkward_mid	classic_ratio+two_point	0.0
VIM:i1:17228525-17229275	chr10	17228525	17229275	+	ENSG00000026025.16	protein_coding	751	awkward_mid	39.25	1.25	8.0	1.0	1.0	0.8306878306878307	False	False	True	False	clean	best_perf	0.0	0.0	0.4141145139813582					0.022092323562279723	two_point	True	0.6804261207580566	1.0	False	False							0.8306878306878307		0.030045560044700458				awkward_mid	classic_ratio+two_point	0.5
VIM:i2:17229986-17230649	chr10	17229986	17230649	+	ENSG00000026025.16	protein_coding	664	awkward_mid		8768.5	8767.0	8767.0			False	False	False	False	anti-near	classic	1.0	0.04969879518072289	0.9728915662650602						two_point	False			False	False													awkward_mid	classic_ratio+two_point	1.0
VIM:i2:17229986-17230649	chr10	17229986	17230649	+	ENSG00000026025.16	protein_coding	664	awkward_mid	48.25	8768.5	8767.0	8767.0	1.0	0.005472538066747952	False	False	False	False	anti-near	best_perf	0.02710843373493976	0.02710843373493976	0.9728915662650602						two_point	False	0.6424148678779602	1.0	False	False							0.005472538066747952						awkward_mid	classic_ratio+two_point	1.0
VIM:i5:17233932-17234692	chr10	17233932	17234692	+	ENSG00000026025.16	protein_coding	761	awkward_mid	74.375	22180.5	22174.25	22173.25	1.0	0.003341964401058195	False	False	False	False	clean	classic	0.2536136662286465	0.0	0.2536136662286465						two_point	False	0.4665493071079254	1.0	False	False													awkward_mid	classic_ratio+two_point	1.0
VIM:i5:17233932-17234692	chr10	17233932	17234692	+	ENSG00000026025.16	protein_coding	761	awkward_mid	74.0	22180.5	22174.25	22173.25	1.0	0.0033251701902985912	False	False	False	False	clean	best_perf	0.0	0.0	0.2536136662286465					0.26406560426089526	two_point	True	0.4520367980003357	1.0	False	False							0.0033251701902985912		0.3591292217948176				awkward_mid	classic_ratio+two_point	1.0
VIM:i6:17234819-17235168	chr10	17234819	17235168	+	ENSG00000026025.16	protein_coding	350	awkward_mid	137.75	19700.0	19718.75	19698.5	1.0	0.006937274947750107	False	False	False	False	anti-near	classic	0.7628571428571429	0.04285714285714286	0.7628571428571429						two_point	False	0.45783132314682007	1.0	False	False													awkward_mid	classic_ratio+two_point	1.0
VIM:i6:17234819-17235168	chr10	17234819	17235168	+	ENSG00000026025.16	protein_coding	350	awkward_mid	147.5	19700.0	19718.75	19698.5	1.0	0.007424652362675392	False	False	False	False	anti-near	best_perf	0.0	0.0	0.7628571428571429					0.5600453172205438	two_point	True	0.4028571546077728	1.0	False	False							0.007424652362675392		0.5983383685800604				awkward_mid	classic_ratio+two_point	1.0
